Id,Solde
16alfarool,-4.50
16ayhan,-5.00
16blanchet,-3.00
16boudy,-2.50
16girod,-4.00
16giruzzi,-6.00
16goutalan,-35.00
16grosskop,-2.00
16holtzer,-5.00
16kamagne,-8.00
16khiyar,-4.00
16lapassat,-5.00
16lecerf,-2.50
16orsonica,-7.50
16pierre,-2.00
16quazza,-4.50
16testudeb,-0.50
17douady,-13.00
17garnier,-0.50
17goetz,-2.50
17joannard,-1.50
17llamaslo,-10.00
17masson,-2.50
17mhader,-7.50
17monteiro,-0.50
17oliver,-1.50
17remili,-0.50
17romeoveg,-10.00
17yu,-5.00
18alvites,-1.50
18bader,-5.00
18bobillier,-1.00
18bressan,-12.00
18collin ,-3.00
18correze,-9.00
18durand,-10.00
18el_hajji,-5.00
18heim,-22.00
18marty,-3.50
18moret,-6.50
18sandront,-2.50
18schlienger,-2.50
18valade,-22.50
18yezeguelian,-13.00
19avice,-2.00
19baronnet,-17.00
19belamrir,-2.50
19blot,-9.50
19bourdin,-23.00
19defroide,-5.00
19dubard,-7.00
19ferriere,-1.50
19gardin,-13.00
19griffe,-4.00
19hervier,-22.00
19huamanbe,-16.00
19mahé,-6.00
19monnier,-2.50
19ouazanre,-6.50
19partarri,-5.00
19planche,-24.50
19romerafl,-5.50
19rossy,-5.00
19salloum,-32.00
19sionp,-9.00
19tissot,-8.00
19trin,-12.50
20acuna_hu,-9.00
20alifano,-5.00
20altez_ba,-4.50
20aurousse,-3.00
20beaulieu,-0.50
20beauval,-3.00
20buvot,-6.00
20cave,-2.70
20communat,-1.49
20cortesdo,-7.50
20doireau,-0.50
20duque_es,-6.00
20el_karim,-12.00
20freyther,-3.50
20gobbi,-2.50
20jojot,-2.00
20kim,-0.50
20lei,-0.50
20martinez,-1.40
20maze,-4.00
20meunier,-3.00
20moreira_,-7.50
20morillon,-0.49
20moulle,-4.50
20perdrize,-0.50
20pierfitt,-5.00
20quignon,-0.50
20rochapar,-8.00
20rousseau,-6.00
20silvamac,-11.00
20studter,-1.00
20toulemon,-4.50
20xu,-3.00
21abraham,-3.00
21antisfor,-3.00
21argaud,-7.40
21belkasmi,-47.00
21belliard,-4.00
21bessy,-5.00
21caillaud,-2.00
21dechelot,-3.50
21deferrie,-38.50
21delpy,-8.50
21de_ferri,-38.50
21dureaude,-2.50
21etienne,-4.00
21gavaudan,-9.50
21gula,-5.00
21jarry,-2.40
21jorba,-7.50
21lacourte,-0.40
21laforgue,-1.50
21lambert,-5.00
21lecorre,-4.00
21leesco,-2.50
21leuba,-5.50
21morand,-9.00
21paolini,-1.00
21plantier,-3.50
21presaras,-2.00
21provost,-1.00
21riche,-2.50
21roscelli,-2.00
21salmon,-5.00
21sinou,-0.50
21taniguch,-16.50
21varescon,-3.00
21zhou,-12.00
22biasani,-21.50
22bidault,-6.00
22bois,-9.00
22bost,-6.50
22bourderi,-5.50
22chassagn,-5.00
22cormouls,-1.50
22cotty,-3.00
22degracia,-12.00
22duchesne,-1.50
22ejarqueb,-21.50
22emery,-1.50
22exbrayat,-8.00
22garnier,-2.50
22incacuti,-2.00
22jaimehin,-2.50
22jing,-20.00
22lecam,-0.50
22lhayani,-5.00
22louapre,-3.00
22mellouki,-3.00
22outbib,-2.00
22padilla,-8.00
22paschini,-2.50
22richer,-5.00
22robin,-7.00
22robinm,-5.30
22rousseau,-8.50
22synold,-7.00
22thomas,-1.50
22wellenst,-0.50
22zhu,-7.50
23bacchi,-4.00
23banessy,-15.50
23bardot,-7.00
23bigot,-4.00
23braconni,-5.00
23brousse,-0.50
23campos,-36.00
23chaumel,-0.50
23dujardin,-14.00
23dupouy,-4.50
23duveau,-0.50
23ferrey,-4.50
23feve,-12.50
23grillot,-30.50
23grison,-2.00
23herve,-3.00
23houbouya,-4.00
23hulard,-2.50
23hurtadoj,-5.50
23laumonie,-7.00
23mikou,-2.50
23morabito,-5.50
23oculi,-9.50
23papon,-2.00
23pereira,-16.00
23philiber,-9.50
23pic,-3.00
23picard,-25.00
23piechacz,-13.00
23pinault,-3.50
23raymondj,-9.00
23roncin,-14.50
23samba,-4.00
23sauvage,-9.00
23trolle,-2.50
23vegavale,-3.00
23vogel,-3.00
23yvetot,-22.50
24attali,-8.00
24baudry,-0.50
24bonin,-7.50
24bourdeau,-12.00
24bourgare,-3.40
24brogi,-5.50
24Caillaut,-6.50
24callens,-6.50
24coulomb,-2.50
24coulon,-12.00
24couturie,-3.00
24delaroch,-2.50
24delmotte,-1.00
24desclers,-27.50
24dumas,-3.00
24dumase,-3.00
24evans,-4.00
24giessner,-3.00
24grenade,-9.50
24guiard,-5.00
24lauret,-6.00
24leguevel,-9.00
24ligeret,-19.50
24martin,-8.00
24olekhnov,-5.50
24raynaud,-3.00
24rittano,-3.00
24rouyez,-2.50
24sans,-12.50
24vambert,-5.50
24vandersi,-3.00
24vendeuvr,-2.50
i18perard,-4.00
i19minck,-5.00
i19podda,-6.00
i19villarea,-3.00
i20mornet,-5.00
i20vincent,-10.00
i21guille,-3.00
i22charbo,-3.00
i22ismail,-3.00
i22sarpy,-5.50
i23blachon,-2.50
i23chalayer,-10.00
i23villette,-33.00
i24roux,-9.00
